EquipmentID,StudentID,DatePurchased,DateAssigned,EquipmentType,,ModelName,Location,Password,Status,Notes,ServiceTag,Software
100,1969592,01/01/2015,02/01/2018,Livescribe,,,,,,,,
101,2267793,01/01/2015,02/01/2018,Livescribe,,,,,,,,
102,7506355,01/01/2015,02/01/2018,Livescribe,,,,,,,,
103,2036988,01/01/2015,02/01/2018,Livescribe,,,,,,,,
104,5064637,01/01/2015,02/01/2018,Livescribe,,,,,,,,
105,3290201,01/01/2015,02/01/2018,Livescribe,,,,,,,,
106,5906784,01/01/2015,02/01/2018,Livescribe,,,,,,,,
107,3093194,01/01/2015,02/01/2018,Livescribe,,,,,,,,
108,5305701,01/01/2015,02/01/2018,Livescribe,,,,,,,,
110,6615802,01/01/2015,02/01/2018,Livescribe,,,,,,,,
111,6848887,01/01/2015,02/01/2018,Livescribe,,,,,,,,
112,7711688,01/01/2015,02/01/2018,Livescribe,,,,,,,,
113,6564733,01/01/2015,02/01/2018,Livescribe,,,,,,,,
114,4795192,01/01/2015,02/01/2018,Livescribe,,,,,,,,
115,3595565,01/01/2015,02/01/2018,Livescribe,,,,,,,,
116,4454850,01/01/2015,02/01/2018,Livescribe,,,,,,,,
117,3243054,01/01/2015,02/01/2018,Livescribe,,,,,,,,
118,2085588,01/01/2015,02/01/2018,Livescribe,,,,,,,,
119,6877257,01/01/2015,02/01/2018,Livescribe,,,,,,,,
120,7133097,01/01/2015,02/01/2018,Livescribe,,,,,,,,
121,8770129,01/01/2015,02/01/2018,Livescribe,,,,,,,,
122,5674549,01/01/2015,02/01/2018,Livescribe,,,,,,,,
123,1585198,01/01/2015,02/01/2018,Livescribe,,,,,,,,
124,4164087,01/01/2015,02/01/2018,Livescribe,,,,,,,,
125,3609533,01/01/2015,02/01/2018,Livescribe,,,,,,,,
127,6030535,01/01/2015,02/01/2018,Livescribe,,,,,,,,
128,3969232,01/01/2015,02/01/2018,Livescribe,,,,,,,,
129,3127718,01/01/2015,02/01/2018,Livescribe,,,,,,,,
