EquipmentID,DatePurchased,DateAssigned,EquipmentType,ModelName,Location,Status,ServiceTag,Software,Password,Notes,StudentID
1,25/01/2014,26/01/2016,Livescribe,Echo 2 GB,With Student,,,,,,1969592
2,14/05/2015,04/02/2016,Livescribe,Echo 2 GB,With Student,,,,,,2267793
3,07/09/2012,05/08/2016,Livescribe,Echo 2 GB,With Student,,,,,replacement pen,7506355
4,06/04/2016,28/11/2017,Livescribe,Echo 2 GB,With Student,,,,,,2036988
5,06/09/2014,01/11/2017,Livescribe,Echo 2 GB,With Student,,,,,,5064637
6,01/11/2015,26/09/2017,Livescribe,Echo 2 GB,With Student,,,,,,3290201
7,28/02/2016,17/10/2015,Livescribe,Echo 2 GB,With Student,,,,,,5906784
8,11/11/2014,12/04/2016,Livescribe,Echo 2 GB,With Student,,,,,,3093194
9,08/06/2014,12/10/2015,Livescribe,Echo 2 GB,,,,,,,
10,06/02/2014,14/10/2017,Livescribe,Echo 2 GB,,,,,,,
11,18/03/2015,24/08/2016,Laptop,Dell Latitude 5580,Main Office,Exam Set-up,IHRYPEA,,password,,
12,14/08/2016,04/07/2016,Laptop,Dell Latitude 5480,Main Office,Exam Set-up,XSRKQTL,,password,,
13,23/11/2015,16/03/2016,Laptop,Dell Latitude 5480,Main Office,Exam Set-up,SGYCDTI,,password,,
14,24/05/2016,13/01/2018,Laptop,Dell Latitude 5480,Main Office,AT Demonstration Set-up,ERXBMGO,Dragon v15,password,,
15,08/12/2015,23/09/2016,Laptop,Dell Latitude 5480,Main Office,Exam Set-up,DKMEZNO,Dragon v13,password,,
16,22/08/2014,27/07/2017,Laptop,Dell Latitude 5480,Main Office,Exam Set-up,QWPNCKR,,password,,3595565
17,24/12/2012,11/07/2017,Laptop,Dell Latitude E5430,With Student,General Use Set-up,YNMPEKI,,password,,4454850
18,15/02/2013,13/02/2017,Laptop,Dell Latitude E5530,With Student,General Use Set-up,KNOFXPW,,password,Windows Magnifier enabled,3243054
19,19/02/2015,24/10/2017,Laptop,Dell Latitude E5520,Main Office,Broken,HVTLRSJ,,password,battery issue - no battery is detected,
20,03/11/2016,11/05/2016,Laptop,Dell Latitude E5520,Main Office,Broken,SANZLXQ,Voice Recognition,password,,
21,12/08/2013,03/11/2017,Laptop,Dell Latitude E5520,With Student,General Use Set-up,RFTPWJI,,password,,7133097
22,09/04/2013,06/09/2017,Laptop,Dell Latitude E5520,With Student,General Use Set-up,AHZXNUO,,password,,8770129
23,06/08/2015,07/04/2016,Laptop,Dell Latitude E5520,With Student,General Use Set-up,SUCOKJA,JAWS,password,,5674549
24,31/07/2016,20/09/2017,Laptop,Dell Latitude E5520,With Student,General Use Set-up,WIJSPEX,,password,,1585198
25,03/06/2015,05/11/2015,Laptop,Dell Latitude E5520,With Student,General Use Set-up,JANTWDV,,password,,4164087
26,04/11/2015,30/09/2017,Laptop,Dell Latitude E5520,With Student,General Use Set-up,LGBDRNS,,password,,3609533
27,27/08/2016,20/06/2016,Laptop,Dell Latitude E5520,Main Office,Exam Set-up,RJIFYVK,,password,back-up laptop,
28,17/12/2013,13/08/2016,Laptop,Dell Latitude E5520,Main Office,Exam Set-up,ZHFBKRO,,password,,
